,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8548387096774194,0.9086021505376344,0.8817204301075269,0.9623655913978495,0.967741935483871,1.0
FOLD 2,0.8021390374331551,0.9090909090909091,0.8342245989304813,0.9411764705882353,0.9572192513368984,0.9946524064171123
FOLD 3,0.8609625668449198,0.8823529411764706,0.8770053475935828,0.9625668449197861,0.983957219251337,1.0
FOLD 4,0.8449197860962567,0.9251336898395722,0.8663101604278075,0.9197860962566845,0.9625668449197861,0.9946524064171123
FOLD 5,0.839572192513369,0.9090909090909091,0.8556149732620321,0.9518716577540107,0.9572192513368984,0.9946524064171123
FOLD 6,0.8449197860962567,0.8502673796791443,0.8609625668449198,0.9411764705882353,0.9679144385026738,0.9679144385026738
FOLD 7,0.8663101604278075,0.9037433155080213,0.8770053475935828,0.9625668449197861,0.9679144385026738,1.0
FOLD 8,0.8617021276595744,0.9361702127659575,0.8670212765957447,0.9414893617021277,1.0,0.9893617021276596
FOLD 9,0.8457446808510638,0.9148936170212766,0.8617021276595744,0.9574468085106383,0.9840425531914894,1.0
FOLD 10,0.8351063829787234,0.8723404255319149,0.8457446808510638,0.9680851063829787,0.9574468085106383,1.0
MEAN,0.8456215430578548,0.9011685550241809,0.8627311509866317,0.9508531253020334,0.9706022741036266,0.9941233359881672
