,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7115063924402446,0.12951639799888828,0.7331851028349082,0.8154530294608116,0.848804891606448,0.6926070038910506,0.5386325736520289,0.3179544191217343,0.7115063924402446,0.6070038910505836
FOLD 2,0.714047751249306,0.1260410882842865,0.7307051637978901,0.807329261521377,0.8567462520821766,0.7062742920599667,0.535258189894503,0.30982787340366463,0.714047751249306,0.6224319822320933
FOLD 3,0.7108768035516093,0.1148723640399556,0.7125416204217536,0.8113207547169812,0.865149833518313,0.7114317425083241,0.5388457269700333,0.316315205327414,0.7108768035516093,0.6198668146503885
FOLD 4,0.7069922308546059,0.12486126526082131,0.6970033296337403,0.8124306326304107,0.8512763596004439,0.6925638179800222,0.5377358490566038,0.33684794672586016,0.7069922308546059,0.6120976692563818
FOLD 5,0.7225913621262459,0.12403100775193798,0.743078626799557,0.8194905869324474,0.8693244739756367,0.7159468438538206,0.5448504983388704,0.32613510520487266,0.7225913621262459,0.6245847176079734
FOLD 6,0.7291321171918187,0.10834715312327253,0.7014925373134329,0.82808181315644,0.8656716417910447,0.7103372028745163,0.5561083471531233,0.32338308457711445,0.7291321171918187,0.6257600884466556
FOLD 7,0.7269718698290127,0.11803640375068947,0.7335907335907336,0.8157749586321015,0.8593491450634307,0.6999448428019857,0.5311638168781025,0.3160507446221732,0.7269718698290127,0.6177606177606177
FOLD 8,0.7180616740088106,0.1183920704845815,0.7064977973568282,0.8177312775330396,0.8584801762114538,0.7142070484581498,0.5269823788546255,0.30781938325991187,0.7180616740088106,0.6294052863436124
FOLD 9,0.7190764156129742,0.11819681143485432,0.7069818581638263,0.8185816382627817,0.8471687740516768,0.6998350742166025,0.5492028587135789,0.32930181418361737,0.7190764156129742,0.6239692138537658
FOLD 10,0.7147558968732858,0.12287438288535381,0.696105320899616,0.8173340647284696,0.8431157432803071,0.7054306088864509,0.5375754251234229,0.30773450356555127,0.7147558968732858,0.6341195831047723
MEAN,0.7174012513737915,0.12051689450146412,0.7161182090812286,0.8163528017574861,0.8565087291180932,0.7048578477530889,0.5396355664634892,0.3191370079991914,0.7174012513737915,0.6216999864306845
