,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.7634408602150538,0.9086021505376344,0.8924731182795699,0.8817204301075269,0.0,0.0
FOLD 2,0.7967914438502673,0.9090909090909091,0.839572192513369,0.9037433155080213,0.0,0.0
FOLD 3,0.8021390374331551,0.8716577540106952,0.893048128342246,0.8609625668449198,0.0,0.0
FOLD 4,0.786096256684492,0.9090909090909091,0.8770053475935828,0.8823529411764706,0.0,0.0
FOLD 5,0.7807486631016043,0.8983957219251337,0.8556149732620321,0.9037433155080213,0.0,0.0
FOLD 6,0.786096256684492,0.893048128342246,0.839572192513369,0.8823529411764706,0.0,0.0
FOLD 7,0.8074866310160428,0.9251336898395722,0.8609625668449198,0.9144385026737968,0.0,0.0
FOLD 8,0.8138297872340425,0.9361702127659575,0.8829787234042553,0.9095744680851063,0.0,0.0
FOLD 9,0.7606382978723404,0.9308510638297872,0.8457446808510638,0.9042553191489362,0.0,0.0
FOLD 10,0.8031914893617021,0.8829787234042553,0.8457446808510638,0.898936170212766,0.0,0.0
MEAN,0.7900458723453192,0.90650192628371,0.8632716604455473,0.8942079970442034,0.0,0.0
