,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.6492146596858639,0.5445026178010471,0.643979057591623,0.6910994764397905,0.6335078534031413,0.6230366492146597,0.6230366492146597,0.612565445026178,0.6492146596858639,0.6387434554973822
FOLD 2,0.6335078534031413,0.5497382198952879,0.6335078534031413,0.6701570680628273,0.6649214659685864,0.6649214659685864,0.6387434554973822,0.6073298429319371,0.6596858638743456,0.6282722513089005
FOLD 3,0.643979057591623,0.5602094240837696,0.6178010471204188,0.6910994764397905,0.6596858638743456,0.612565445026178,0.5863874345549738,0.612565445026178,0.6492146596858639,0.6492146596858639
FOLD 4,0.6302083333333334,0.5208333333333334,0.6510416666666666,0.6614583333333334,0.6458333333333334,0.6145833333333334,0.6145833333333334,0.6145833333333334,0.6458333333333334,0.5989583333333334
FOLD 5,0.6666666666666666,0.5572916666666666,0.6354166666666666,0.6875,0.65625,0.6510416666666666,0.6666666666666666,0.6458333333333334,0.6927083333333334,0.65625
FOLD 6,0.65625,0.5104166666666666,0.640625,0.6927083333333334,0.6822916666666666,0.6197916666666666,0.6614583333333334,0.6041666666666666,0.671875,0.6145833333333334
FOLD 7,0.689119170984456,0.5440414507772021,0.6373056994818653,0.7098445595854922,0.6683937823834197,0.6373056994818653,0.6010362694300518,0.6321243523316062,0.6424870466321243,0.6373056994818653
FOLD 8,0.6752577319587629,0.5154639175257731,0.6134020618556701,0.7319587628865979,0.7061855670103093,0.6288659793814433,0.5721649484536082,0.6082474226804123,0.6443298969072165,0.6134020618556701
FOLD 9,0.6752577319587629,0.5154639175257731,0.6134020618556701,0.7164948453608248,0.7061855670103093,0.6134020618556701,0.6288659793814433,0.6185567010309279,0.6701030927835051,0.634020618556701
FOLD 10,0.6581632653061225,0.5714285714285714,0.6071428571428571,0.7244897959183674,0.6989795918367347,0.6377551020408163,0.5918367346938775,0.6275510204081632,0.6632653061224489,0.6326530612244898
MEAN,0.6577624470888732,0.5389389785704091,0.6293623971784578,0.6976810651360358,0.6722234691486847,0.6303269069635886,0.618477980455933,0.6183523562768737,0.6588717192358036,0.6303403474277539
