,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.6491359879789632,0.7227648384673178,0.7182569496619083,0.6551465063861758,0.9226145755071374,0.6867017280240421,0.8429752066115702,0.7535687453042825,0.830954169797145,0.4951164537941398
FOLD 2,0.6401202103681443,0.7332832456799399,0.7235161532682194,0.6401202103681443,0.9368895567242674,0.6746806912096168,0.8264462809917356,0.734785875281743,0.8324567993989481,0.4951164537941398
FOLD 3,0.6378662659654395,0.7205108940646131,0.7302779864763336,0.6446280991735537,0.941397445529677,0.6709241172051089,0.8429752066115702,0.7265214124718257,0.8444778362133734,0.4951164537941398
FOLD 4,0.6418918918918919,0.7297297297297297,0.704954954954955,0.6463963963963963,0.9316816816816816,0.6726726726726727,0.8280780780780781,0.7139639639639641,0.8295795795795796,0.6876876876876877
FOLD 5,0.6336336336336337,0.7214714714714715,0.734984984984985,0.6411411411411412,0.9181681681681682,0.6696696696696697,0.8198198198198198,0.7327327327327328,0.8258258258258259,0.7319819819819819
FOLD 6,0.6351351351351351,0.725975975975976,0.725975975975976,0.6418918918918919,0.9256756756756755,0.668918918918919,0.8340840840840841,0.7575075075075075,0.8325825825825826,0.4954954954954955
FOLD 7,0.6463963963963963,0.728978978978979,0.7432432432432432,0.6433933933933934,0.8858858858858859,0.6854354354354354,0.8295795795795796,0.7132132132132132,0.8348348348348348,0.7484984984984985
FOLD 8,0.6421605401350338,0.7306826706676669,0.7314328582145536,0.6444111027756939,0.9347336834208552,0.6691672918229558,0.8319579894973743,0.7164291072768192,0.8304576144036009,0.4951237809452363
FOLD 9,0.6361590397599399,0.732933233308327,0.7426856714178545,0.6436609152288072,0.9422355588897224,0.6766691672918229,0.8252063015753939,0.7254313578394599,0.8237059264816204,0.4951237809452363
FOLD 10,0.6481620405101275,0.7426856714178545,0.7351837959489872,0.6399099774943736,0.9279819954988748,0.6759189797449362,0.8499624906226556,0.7344336084021005,0.8304576144036009,0.4951237809452363
MEAN,0.6410661141774705,0.7289016709761875,0.7290512574147016,0.6440699634249571,0.9267264226981945,0.6750758671995178,0.8331085037471861,0.7308587523993648,0.8315332783521111,0.5634384367881792
